model,id,cer
gpt_one_example,17,0.7398554752640356
gpt_one_example,16,0.7255014326647564
gpt_one_example,14,0.7201512695840087
gpt_one_example,15,0.7162872154115587
gpt_one_example,11,0.7990622906898861
gpt_one_example,10,0.724709784411277
gpt_one_example,12,0.7008324661810614
gpt_one_example,13,0.6913151364764268
gpt_one_example,8,0.6723054615756404
gpt_one_example,9,0.6587301587301587
gpt_one_example,4,0.6438202247191012
gpt_one_example,5,0.7912087912087912
gpt_one_example,7,0.7501435956346927
gpt_one_example,6,0.75144813059505
gpt_one_example,3,0.6239669421487604
gpt_one_example,1,0.6996113270405331
gpt_one_example,18,0.7047817047817048
gpt_one_example,19,0.7375434530706837
claude_simple,17,0.7192884936075598
claude_simple,16,0.7340974212034383
claude_simple,14,0.6812533765532145
claude_simple,15,0.6748394629305312
claude_simple,11,0.7361018084393838
claude_simple,10,0.7357656163626313
claude_simple,12,0.700312174817898
claude_simple,13,0.7578163771712159
claude_simple,8,0.7274045432576124
claude_simple,9,0.7857142857142857
claude_simple,4,0.7786516853932585
claude_simple,5,0.701007326007326
claude_simple,7,0.6932797242963814
claude_simple,6,0.707740916271722
claude_simple,2,0.702755905511811
claude_simple,3,0.7592975206611571
claude_simple,1,0.7257079400333148
claude_simple,18,0.7494802494802495
claude_simple,19,0.6917728852838934
TrOCR,17,0.9794330183435241
TrOCR,16,0.9581661891117479
TrOCR,14,0.9854132901134521
TrOCR,15,0.9824868651488616
TrOCR,11,0.9899531145344943
TrOCR,10,0.9701492537313433
TrOCR,12,0.9406867845993756
TrOCR,13,0.973697270471464
TrOCR,8,0.9922667955534075
TrOCR,9,0.9645909645909646
TrOCR,4,0.9724719101123596
TrOCR,5,0.9606227106227107
TrOCR,7,0.9701321079839172
TrOCR,6,0.9836756187467088
TrOCR,2,0.9438976377952756
TrOCR,3,0.9808884297520661
TrOCR,1,0.9800111049416991
TrOCR,18,0.9776507276507277
TrOCR,19,0.9658169177288528
Pytesseract,17,0.7220678154530294
Pytesseract,16,0.710028653295129
Pytesseract,14,0.7185305240410589
Pytesseract,15,0.7081144191476941
Pytesseract,11,0.7153382451440053
Pytesseract,10,0.7236042012161416
Pytesseract,12,0.7325702393340271
Pytesseract,13,0.7364764267990075
Pytesseract,8,0.7278878685355245
Pytesseract,9,0.7057387057387058
Pytesseract,4,0.7174157303370786
Pytesseract,5,0.7463369963369964
Pytesseract,7,0.742676622630672
Pytesseract,6,0.7393364928909952
Pytesseract,2,0.7406496062992126
Pytesseract,3,0.7350206611570248
Pytesseract,1,0.7756801776790672
Pytesseract,18,0.7053014553014553
Pytesseract,19,0.7166859791425261
claude_refine_complex,17,0.7659811006114509
claude_refine_complex,16,0.6487106017191977
claude_refine_complex,14,0.6661264181523501
claude_refine_complex,15,0.6876824284880327
claude_refine_complex,11,0.7736101808439384
claude_refine_complex,10,0.7418463239358761
claude_refine_complex,12,0.7434963579604579
claude_refine_complex,13,0.6937965260545905
claude_refine_complex,8,0.6404059932334462
claude_refine_complex,9,0.7417582417582418
claude_refine_complex,4,1.198876404494382
claude_refine_complex,5,0.7664835164835165
claude_refine_complex,7,1.2102240091901206
claude_refine_complex,6,0.7488151658767772
claude_refine_complex,2,0.6392716535433071
claude_refine_complex,3,0.7944214876033058
claude_refine_complex,1,1.1354802887284843
claude_refine_complex,18,0.5816008316008316
claude_refine_complex,19,0.6292004634994206
gpt_complex,17,0.7398554752640356
gpt_complex,16,0.7478510028653295
gpt_complex,14,0.6277687736358725
gpt_complex,15,0.9673088149445418
gpt_complex,11,0.884125920964501
gpt_complex,10,0.7495854063018242
gpt_complex,12,0.7278876170655567
gpt_complex,13,0.8297766749379653
gpt_complex,8,0.6428226196230062
gpt_complex,9,0.6733821733821734
gpt_complex,4,0.8719101123595505
gpt_complex,5,0.8086080586080586
gpt_complex,7,0.6921309592188397
gpt_complex,6,0.6066350710900474
gpt_complex,2,0.7396653543307087
gpt_complex,3,0.6477272727272727
gpt_complex,1,0.7395891171571349
gpt_complex,18,0.7333679833679834
gpt_complex,19,0.6077636152954808
claude_two_example,17,0.7315175097276264
claude_two_example,16,0.7169054441260745
claude_two_example,14,0.722312263641275
claude_two_example,15,0.7162872154115587
claude_two_example,11,0.7206965840589418
claude_two_example,10,0.7711442786069652
claude_two_example,12,0.7351716961498439
claude_two_example,13,0.743424317617866
claude_two_example,8,0.7713871435476075
claude_two_example,9,0.7234432234432234
claude_two_example,4,0.7213483146067415
claude_two_example,5,0.7532051282051282
claude_two_example,7,0.7553130384836301
claude_two_example,6,0.7477619799894681
claude_two_example,1,0.7012770682953915
claude_two_example,18,0.7422037422037422
claude_two_example,19,0.7085747392815759
TrOCR20,17,0.7531962201222901
TrOCR20,15,0.7367192060712201
TrOCR20,11,0.7401205626255861
TrOCR20,10,0.75787728026534
TrOCR20,12,0.7601456815816857
TrOCR20,13,0.7712158808933003
TrOCR20,9,0.746031746031746
TrOCR20,4,0.7528089887640449
TrOCR20,5,0.7715201465201466
TrOCR20,7,0.7512923607122344
TrOCR20,6,0.760926803580832
TrOCR20,2,0.765748031496063
TrOCR20,3,0.7649793388429752
TrOCR20,20,0.7431360585723001
TrOCR20,18,0.764033264033264
TrOCR20,19,0.7526071842410197
gpt_two_example,17,0.6486937187326293
gpt_two_example,16,0.6481375358166189
gpt_two_example,14,0.6763911399243652
gpt_two_example,15,0.7116170461179218
gpt_two_example,11,0.7675820495646349
gpt_two_example,10,0.6965174129353234
gpt_two_example,12,0.700312174817898
gpt_two_example,13,0.6610421836228287
gpt_two_example,8,0.6858385693571774
gpt_two_example,9,1.1587301587301588
gpt_two_example,4,0.6589887640449438
gpt_two_example,5,0.6437728937728938
gpt_two_example,7,1.063756461803561
gpt_two_example,6,0.6929963138493944
gpt_two_example,1,0.6762909494725152
gpt_two_example,18,0.6772349272349273
gpt_two_example,19,0.652954808806489
KerasOCR,17,0.7943301834352418
KerasOCR,16,0.802865329512894
KerasOCR,14,0.8244192328471097
KerasOCR,15,0.8009340338587274
KerasOCR,11,0.7870060281312793
KerasOCR,10,0.8264234383637369
KerasOCR,12,0.7960457856399584
KerasOCR,13,0.8198511166253102
KerasOCR,8,0.8347027549540841
KerasOCR,9,0.796092796092796
KerasOCR,4,0.7752808988764045
KerasOCR,5,0.8218864468864469
KerasOCR,7,0.7782883400344629
KerasOCR,6,0.8067403896787783
KerasOCR,2,0.8070866141732284
KerasOCR,3,0.8130165289256198
KerasOCR,1,0.787340366463076
KerasOCR,18,0.8212058212058212
KerasOCR,19,0.8209733487833141
claude_complex,17,0.6525847693162868
claude_complex,16,0.6492836676217765
claude_complex,14,0.6239870340356564
claude_complex,15,0.6328079392877992
claude_complex,11,0.7026121902210315
claude_complex,10,0.6334991708126037
claude_complex,12,0.649843912591051
claude_complex,13,0.6699751861042184
claude_complex,8,0.6911551474142098
claude_complex,9,0.6135531135531136
claude_complex,4,0.651685393258427
claude_complex,5,0.6369047619047619
claude_complex,7,0.6771970132107984
claude_complex,6,0.6355976829910479
claude_complex,2,0.6589566929133859
claude_complex,3,0.6363636363636364
claude_complex,1,0.6629650194336479
claude_complex,18,0.5841995841995842
claude_complex,19,0.5741599073001159
gpt_simple,17,0.7526403557531962
gpt_simple,16,0.9438395415472779
gpt_simple,14,0.8271204754186926
gpt_simple,15,0.8441330998248686
gpt_simple,11,1.2096450100468854
gpt_simple,10,0.6970702045328911
gpt_simple,12,0.7804370447450573
gpt_simple,13,0.832258064516129
gpt_simple,8,0.9009183180280329
gpt_simple,9,0.6654456654456654
gpt_simple,4,0.8741573033707866
gpt_simple,5,0.76007326007326
gpt_simple,7,0.7489948305571511
gpt_simple,6,0.7461822011585044
gpt_simple,2,0.8730314960629921
gpt_simple,3,0.7365702479338843
gpt_simple,1,0.7418101054969461
gpt_simple,18,0.9048856548856549
gpt_simple,19,0.6848203939745076
claude_one_example,17,0.7320733740967204
claude_one_example,16,0.7060171919770774
claude_one_example,14,0.7217720151269584
claude_one_example,15,0.6112084063047285
claude_one_example,11,0.7119892833221702
claude_one_example,10,0.7645107794361525
claude_one_example,12,0.7434963579604579
claude_one_example,13,0.7508684863523574
claude_one_example,8,0.7699371677138714
claude_one_example,9,0.7173382173382173
claude_one_example,4,0.7264044943820225
claude_one_example,5,0.7536630036630036
claude_one_example,7,0.7541642734060885
claude_one_example,6,0.6566614007372301
claude_one_example,3,0.7329545454545454
claude_one_example,1,0.7029428095502499
claude_one_example,18,0.7385654885654885
claude_one_example,19,0.7108922363847046
gpt_refine_complex,17,0.7392996108949417
gpt_refine_complex,16,0.6189111747851003
gpt_refine_complex,14,0.7239330091842248
gpt_refine_complex,15,0.5826036193812025
gpt_refine_complex,11,0.6550569323509712
gpt_refine_complex,10,0.6655610834715312
gpt_refine_complex,12,0.6696149843912591
gpt_refine_complex,13,0.6724565756823822
gpt_refine_complex,8,0.6080231996133397
gpt_refine_complex,9,0.9816849816849816
gpt_refine_complex,4,0.75
gpt_refine_complex,5,0.7481684981684982
gpt_refine_complex,7,0.7564618035611718
gpt_refine_complex,6,0.6535018430753028
gpt_refine_complex,2,0.6673228346456693
gpt_refine_complex,3,0.6048553719008265
gpt_refine_complex,1,0.7401443642420877
gpt_refine_complex,18,0.7978170478170478
gpt_refine_complex,19,0.604287369640788
EasyOCR,17,0.7893274041133963
EasyOCR,16,0.7868194842406877
EasyOCR,14,0.7655321447866018
EasyOCR,15,0.7816695855224752
EasyOCR,11,0.8633623576691226
EasyOCR,10,0.7484798231066888
EasyOCR,12,0.7872008324661811
EasyOCR,13,0.7781637717121588
EasyOCR,8,0.749637506041566
EasyOCR,9,0.8021978021978022
EasyOCR,4,0.8393258426966292
EasyOCR,5,0.7586996336996337
EasyOCR,7,0.8345778288340034
EasyOCR,6,0.7604002106371774
EasyOCR,2,0.7721456692913385
EasyOCR,3,0.7691115702479339
EasyOCR,1,0.8256524153248196
EasyOCR,18,0.7406444906444907
EasyOCR,19,0.7566628041714948
